pais_destino,Atraccion,categoria,turistas_anuales,rating,mejor_estacion,descripcion
IRLANDA,Castillo de Dublín,"""castillo, historia, arquitectura, ciudad""",700000,4.4,Todo el año,"""Antiguo centro de poder británico en Irlanda, con torres medievales y elegantes salones de estado."""
IRLANDA,Parque Nacional de Killarney,"""naturaleza, parque natural, montaña, lago, bosque""",1000000,4.7,Verano,"""Vasto parque en el condado de Kerry, famoso por sus montañas, lagos y el castillo de Ross."""
IRLANDA,Kilmainham Gaol (Dublín),"""museo, historia, política, cárcel""",500000,4.6,Todo el año,"""Antigua prisión con una profunda resonancia en la historia del nacionalismo irlandés, clave para entender la independencia."""
IRLANDA,The Burren,"""naturaleza, geología, paisaje, flora""",800000,4.5,Primavera,"""Región kárstica única de piedra caliza, famosa por su paisaje lunar y su flora ártica y mediterránea mezcladas."""
IRLANDA,Catedral de San Patricio (Dublín),"""religion, arquitectura, gótico, historia""",600000,4.5,Todo el año,"""Una de las dos catedrales de Dublín, famosa por su arquitectura gótica y su asociación con Jonathan Swift."""
IRLANDA,Bru na Boinne (Newgrange),"""arqueología, prehistoria, patrimonio unesco, monumento""",300000,4.8,Todo el año,"""Sitio arqueológico prehistórico anterior a Stonehenge y las pirámides, famoso por su alineación con el solsticio de invierno."""
ITALIA,Coliseo y Foro Romano (Roma),"""arqueología, historia, monumento, ruina, ciudad""",7600000,4.9,Primavera,"""El anfiteatro más grande del mundo antiguo, un símbolo del Imperio Romano, junto a las ruinas del centro político."""
ITALIA,Fontana di Trevi (Roma),"""monumento, arquitectura, ocio, leyenda, ciudad""",20000000,4.7,Todo el año,"""La fuente barroca más famosa de Roma, donde los turistas arrojan monedas para asegurar su regreso a la ciudad."""
ITALIA,Ciudad del Vaticano (Basílica de San Pedro),"""religion, arquitectura, arte, monumento, patrimonio unesco""",5000000,4.9,Todo el año,"""El centro de la Iglesia Católica, hogar de la Basílica de San Pedro, la Capilla Sixtina y los Museos Vaticanos."""
ITALIA,Pompeya y Vesubio,"""arqueología, historia, ruina, montaña, patrimonio unesco""",4000000,4.8,Primavera,"""Antigua ciudad romana devastada por la erupción del Vesubio, famosa por sus restos excepcionalmente conservados."""
ITALIA,Canales de Venecia,"""ciudad, arquitectura, historia, relax, rio""",25000000,4.6,Primavera,"""La red única de canales que atraviesan la ciudad, con el Gran Canal como vía principal y famosas góndolas."""
ITALIA,Galería de los Uffizi (Florencia),"""museo, arte, renacimiento, cultura""",2000000,4.7,Todo el año,"""Una de las galerías de arte más importantes del mundo, con una vasta colección de obras del Renacimiento italiano."""
ITALIA,Torre Inclinada de Pisa,"""monumento, arquitectura, medieval, ciudad""",5000000,4.4,Verano,"""El campanario de la Catedral de Pisa, famoso mundialmente por su inclinación involuntaria y su arquitectura románica."""
ITALIA,Dolomitas,"""naturaleza, montaña, aventura, paisaje, parque natural""",4000000,4.9,Verano,"""Espectacular cadena montañosa en los Alpes, declarada Patrimonio de la UNESCO, popular para el senderismo y el esquí."""
ITALIA,Cinque Terre,"""pueblo, costa, naturaleza, arquitectura, relax""",3000000,4.7,Primavera,"""Cinco pintorescos pueblos de pescadores en la costa de Liguria, famosos por sus coloridas casas en los acantilados."""
ITALIA,Costa Amalfitana,"""costa, playa, pueblo, carretera escénica, gastronomia""",5000000,4.8,Verano,"""Línea costera escénica famosa por sus acantilados, pueblos de colores como Positano y su excelente cocina."""
LETONIA,Casco Antiguo de Riga (Vecrīga),"""ciudad, patrimonio unesco, arquitectura, historia, medieval""",4000000,4.9,Todo el año,"""El centro histórico de Riga, un laberinto de calles empedradas y edificios medievales, Patrimonio de la UNESCO."""
LETONIA,Barrio Art Nouveau (Riga),"""arquitectura, arte, historia, ciudad""",2000000,4.8,Primavera,"""El distrito de Riga con la mayor concentración de edificios Art Nouveau (Jugendstil) en el mundo, clave para su identidad."""
LETONIA,Castillo de Turaida y Reserva,"""castillo, historia, medieval, naturaleza, bosque""",500000,4.7,Otoño,"""Castillo de ladrillo rojo del siglo XIII y reserva natural, popular por sus rutas de senderismo y leyendas."""
LETONIA,Mercado Central de Riga,"""mercado, gastronomia, compras, cultura, ciudad""",10000000,4.4,Todo el año,"""El mercado cubierto más grande de Europa, construido dentro de antiguos hangares de zepelines, con productos frescos locales."""
LETONIA,Palacio de Rundāle,"""palacio, arquitectura, barroco, jardín, historia""",300000,4.8,Verano,"""El palacio barroco más espléndido de Letonia, diseñado por Rastrelli (arquitecto del Hermitage de San Petersburgo)."""
LETONIA,Playa de Jurmala,"""playa, costa, relax, ocio, arquitectura""",1500000,4.5,Verano,"""El balneario costero más grande del Báltico, conocido por sus playas de arena blanca y sus casas de madera Art Nouveau."""
LETONIA,Parque Nacional de Ķemeri,"""naturaleza, parque natural, pantano, relax, fauna""",200000,4.6,Primavera,"""Famoso por sus pantanos de musgo con senderos de madera elevados, hogar de aves raras y manantiales sulfurosos."""
LETONIA,Monumento a la Libertad (Riga),"""monumento, historia, ciudad, símbolo""",3000000,4.3,Todo el año,"""Monumento icónico dedicado a los soldados caídos durante la Guerra de Independencia de Letonia, centro de eventos nacionales."""
LETONIA,Catedral de Riga (Rīgas Doms),"""religion, arquitectura, historia, gótico, ciudad""",800000,4.6,Todo el año,"""La iglesia medieval más grande de los Estados Bálticos, famosa por su órgano y su mezcla de estilos arquitectónicos."""
LETONIA,Castillo de Cesis,"""castillo, ruina, historia, medieval""",150000,4.5,Otoño,"""Ruinas bien conservadas de un castillo medieval de la Orden de Livonia, con una rica historia."""
LITUANIA,Castillo de Trakai,"""castillo, historia, medieval, lago, arquitectura""",1000000,4.9,Primavera,"""Espectacular castillo medieval de ladrillo rojo situado en una isla en medio del lago Galvė, cerca de Vilna."""
LITUANIA,Casco Antiguo de Vilna,"""ciudad, patrimonio unesco, arquitectura, historia, barroco""",5000000,4.8,Todo el año,"""Uno de los cascos antiguos medievales mejor conservados del norte de Europa, famoso por su arquitectura barroca."""
LITUANIA,Curonian Spit (Neringa),"""naturaleza, patrimonio unesco, playa, dunas, costa""",900000,4.7,Verano,"""Una estrecha península de arena con dunas móviles, Patrimonio de la UNESCO, compartida con Rusia."""
LITUANIA,Colina de las Cruces (Šiauliai),"""religion, monumento, símbolo, cultura""",500000,4.6,Todo el año,"""Sitio de peregrinación única con miles de cruces colocadas por los fieles, símbolo de resistencia pacífica."""
LITUANIA,Catedral de Vilna y Campanario,"""religion, arquitectura, monumento, ciudad""",1500000,4.5,Todo el año,"""La principal iglesia de Vilna, con un estilo neoclásico imponente, construida sobre el lugar de un antiguo templo pagano."""
LITUANIA,Museo del KGB (Vilna),"""museo, historia, comunismo, política, cárcel""",200000,4.7,Todo el año,"""Oficialmente el Museo de las Víctimas del Genocidio, ubicado en la antigua sede de la KGB, documenta la represión soviética."""
LITUANIA,Museo Nacional Palacio de los Grandes Duques,"""palacio, museo, historia, renacimiento, ciudad""",350000,4.5,Todo el año,"""Reconstrucción del palacio que fue el centro político y cultural de la Mancomunidad Polaco-Lituana."""
LITUANIA,Kaunas (Casco Antiguo y Castillo),"""ciudad, arquitectura, historia, castillo, medieval""",1500000,4.4,Primavera,"""El centro histórico de la segunda ciudad de Lituania, con una mezcla de estilos y las ruinas de un antiguo castillo."""
LITUANIA,Parque Nacional Aukštaitija,"""naturaleza, parque natural, bosque, lago, relax""",600000,4.6,Verano,"""El parque nacional más antiguo de Lituania, conocido por su red de lagos y aldeas rurales tradicionales."""
LITUANIA,Castillo de Kaunas,"""castillo, historia, medieval, ruina""",100000,4.3,Primavera,"""Ruinas de un castillo medieval gótico a orillas del río, uno de los castillos más antiguos de Lituania."""
MALTA,Mdina (La Ciudad Silenciosa),"""ciudad, medieval, arquitectura, historia, relax""",2000000,4.9,Primavera,"""La antigua capital de Malta, una ciudad amurallada medieval y barroca, conocida por su ambiente tranquilo y sus calles estrechas."""
MALTA,La Valeta (Casco Antiguo),"""ciudad, arquitectura, barroco, historia, patrimonio unesco""",5000000,4.8,Todo el año,"""La capital de Malta, una ciudad fortaleza barroca construida por los Caballeros de San Juan, Patrimonio de la UNESCO."""
MALTA,Catedral de San Juan (La Valeta),"""religion, arquitectura, barroco, arte, monumento""",1000000,4.7,Todo el año,"""La co-catedral de la Orden de Malta, famosa por su ostentoso interior barroco y sus obras de Caravaggio."""
MALTA,Templos de Hagar Qim y Mnajdra,"""arqueología, prehistoria, monumento, ruina, patrimonio unesco""",500000,4.6,Primavera,"""Dos de los complejos de templos megalíticos más antiguos del mundo, anteriores a Stonehenge y las pirámides."""
MALTA,Hypogeum de Hal Saflieni,"""arqueología, prehistoria, cueva, patrimonio unesco""",20000,4.9,Todo el año,"""Un complejo subterráneo funerario y un santuario prehistórico excepcionalmente conservado, catalogado por la UNESCO."""
MALTA,Gruta Azul (Blue Grotto),"""naturaleza, cueva, costa, aventura""",700000,4.5,Verano,"""Un sistema de cuevas marinas en la costa sur, famoso por las aguas de un intenso color azul turquesa."""
MALTA,Isla de Gozo (Azure Window / Dwejra),"""isla, geología, naturaleza, relax""",1500000,4.4,Verano,"""La isla hermana de Malta, con paisajes más rurales y sitios naturales como la bahía de Dwejra (donde estaba la Azure Window)."""
MALTA,Tres Ciudades (Birgu, Senglea, Cospicua),"""ciudad, historia, medieval, arquitectura, fortaleza""",800000,4.5,Todo el año,"""Antiguas fortalezas portuarias con una historia clave en el Gran Asedio, con vistas directas a La Valeta."""
MALTA,Jardines de Upper Barrakka (La Valeta),"""jardín, vistas, ciudad, relax""",3000000,4.6,Todo el año,"""Jardines públicos que ofrecen una de las mejores vistas panorámicas del Gran Puerto y las Tres Ciudades."""
MALTA,Playa de Mellieħa Bay,"""playa, costa, relax, ocio, arena""",1200000,4.3,Verano,"""La playa de arena más larga y popular de Malta, ideal para familias y deportes acuáticos."""
NORUEGA,Geirangerfjord,"""fiordo, naturaleza, patrimonio unesco, paisaje, montaña""",1200000,4.9,Verano,"""El fiordo más famoso y espectacular de Noruega, declarado Patrimonio de la UNESCO, con cascadas icónicas como 'Las Siete Hermanas'."""
NORUEGA,Bergen (Muelle de Bryggen),"""ciudad, arquitectura, historia, patrimonio unesco, puerto""",3500000,4.8,Todo el año,"""El muelle histórico de Bergen, con sus casas de madera de colores, símbolo de la herencia comercial hanseática."""
NORUEGA,Oslo (Museo del Barco Vikingo),"""museo, historia, medieval, cultura, ciudad""",500000,4.7,Todo el año,"""Museo que alberga tres barcos vikingos del siglo IX extraordinariamente bien conservados, la pieza central de la historia nórdica."""
NORUEGA,Púlpito (Preikestolen),"""acantilado, naturaleza, aventura, montaña, vistas""",300000,4.9,Verano,"""Un espectacular acantilado de roca que se alza 604 metros sobre el Lysefjord, una caminata de renombre mundial."""
NORUEGA,Sognefjord,"""fiordo, naturaleza, paisaje, montaña""",1000000,4.7,Verano,"""El fiordo más largo y profundo de Noruega, conocido como el 'Rey de los Fiordos', que se extiende por 204 km."""
NORUEGA,Cabo Norte (Nordkapp),"""naturaleza, ártico, vistas, aventura, sol de medianoche""",250000,4.6,Verano,"""El punto más septentrional de Europa continental, famoso por sus espectaculares vistas del océano Ártico y el sol de medianoche."""
NORUEGA,Islas Lofoten,"""isla, naturaleza, montaña, pueblo, costa""",1000000,4.9,Todo el año,"""Archipiélago famoso por sus montañas escarpadas, pueblos de pescadores de colores y la observación de auroras boreales."""
NORUEGA,Parque Nacional Hardangervidda,"""naturaleza, parque natural, montaña, relax, fauna""",500000,4.6,Verano,"""La meseta montañosa más grande de Europa, hogar de renos salvajes y rutas de senderismo en el sur de Noruega."""
NORUEGA,Carretera del Atlántico (Atlanterhavsveien),"""carretera escénica, arquitectura, naturaleza, costa""",200000,4.5,Verano,"""Una carretera costera dramática y escénica que salta entre islas mediante puentes curvos, votada como la 'construcción del siglo' en Noruega."""
NORUEGA,Catedral de Nidaros (Trondheim),"""religion, arquitectura, gótico, historia""",400000,4.5,Todo el año,"""Considerada la iglesia medieval más importante de Noruega, fue el principal sitio de peregrinación nórdico."""
PAÍSES BAJOS,Rijksmuseum (Ámsterdam),"""museo, arte, historia, cultura, ciudad""",2700000,4.8,Todo el año,"""El museo nacional de los Países Bajos, famoso por su colección de la Edad de Oro, incluyendo 'La Ronda de Noche' de Rembrandt."""
PAÍSES BAJOS,Canales de Ámsterdam,"""ciudad, patrimonio unesco, arquitectura, historia, rio""",18000000,4.7,Primavera,"""La red de 165 canales del centro de Ámsterdam, declarada Patrimonio de la UNESCO y crucial para la vida urbana."""
PAÍSES BAJOS,Casa de Ana Frank (Ámsterdam),"""museo, historia, monumento, ciudad, guerra""",1300000,4.9,Todo el año,"""El escondite donde Ana Frank escribió su famoso diario durante la ocupación nazi, un sitio de profunda memoria histórica."""
PAÍSES BAJOS,Keukenhof (Lisse),"""jardín, naturaleza, ocio, flores""",1500000,4.9,Primavera,"""El parque floral más grande y famoso del mundo, conocido por su espectacular exhibición de tulipanes."""
PAÍSES BAJOS,Museo Van Gogh (Ámsterdam),"""museo, arte, cultura, ciudad""",2200000,4.7,Todo el año,"""Museo dedicado al trabajo de Vincent van Gogh y sus contemporáneos, la colección más grande del mundo del artista."""
PAÍSES BAJOS,Kinderdijk,"""monumento, arquitectura, patrimonio unesco, naturaleza, molino""",800000,4.8,Verano,"""Un conjunto de 19 molinos de viento originales, el mayor y mejor conservado de su tipo, Patrimonio de la UNESCO."""
PAÍSES BAJOS,Mauritshuis (La Haya),"""museo, arte, palacio, ciudad""",500000,4.6,Todo el año,"""Galería de arte conocida por albergar 'La joven de la perla' de Vermeer y otras obras maestras holandesas."""
PAÍSES BAJOS,Delft (Casco Antiguo),"""ciudad, arquitectura, historia, medieval""",1000000,4.5,Primavera,"""Ciudad natal de Vermeer, famosa por su cerámica azul (Delftware), sus canales y su ambiente tranquilo."""
PAÍSES BAJOS,Parque Nacional Hoge Veluwe,"""naturaleza, parque natural, bosque, arte, relax""",600000,4.6,Otoño,"""Parque nacional conocido por sus dunas, fauna salvaje y por albergar el Museo Kröller-Müller (con una gran colección Van Gogh)."""
PAÍSES BAJOS,Vondelpark (Ámsterdam),"""parque, ciudad, ocio, relax, jardin""",10000000,4.3,Verano,"""El parque más grande y famoso de Ámsterdam, un centro de actividad social, recreativa y cultural."""
POLONIA,Museo y Memorial Auschwitz-Birkenau,"""historia, guerra, monumento, cultura""",2500000,4.9,Todo el año,"""El mayor campo de concentración y exterminio nazi, un sitio de memoria y reflexión sobre el Holocausto."""
POLONIA,Casco Antiguo de Cracovia (Rynek Glowny),"""ciudad, patrimonio unesco, arquitectura, medieval, ocio""",10000000,4.8,Primavera,"""La plaza medieval más grande de Europa, rodeada de edificios históricos, como la Lonja de Paños y la Iglesia de Santa María."""
POLONIA,Mina de Sal de Wieliczka,"""patrimonio unesco, geología, monumento, religion, cueva""",1800000,4.7,Todo el año,"""Una de las minas de sal más antiguas del mundo, famosa por sus cámaras y capillas subterráneas excavadas en la sal."""
POLONIA,Castillo Real de Wawel (Cracovia),"""castillo, historia, arquitectura, medieval, palacio""",2000000,4.6,Primavera,"""Antiguo centro de poder político y cultural de Polonia, un complejo que incluye el castillo y la catedral en la colina Wawel."""
POLONIA,Casco Antiguo de Varsovia,"""ciudad, historia, arquitectura, patrimonio unesco""",5000000,4.5,Todo el año,"""Reconstruido meticulosamente tras la Segunda Guerra Mundial, este casco antiguo simboliza la resiliencia de Varsovia, Patrimonio de la UNESCO."""
POLONIA,Parque Nacional de Bialowieza,"""naturaleza, parque natural, bosque, fauna, patrimonio unesco""",150000,4.8,Verano,"""El último remanente de bosque primario que cubría Europa, famoso por ser el hogar del bisonte europeo."""
POLONIA,Plaza del Mercado de Breslavia (Wroclaw),"""ciudad, arquitectura, medieval, ocio""",3500000,4.6,Todo el año,"""La segunda plaza más grande de Polonia, con un hermoso ayuntamiento gótico y famosa por sus estatuas de duendes."""
POLONIA,Castillo de Malbork,"""castillo, medieval, historia, arquitectura, patrimonio unesco""",600000,4.7,Primavera,"""El castillo más grande del mundo por superficie, una impresionante fortaleza de ladrillo de la Orden Teutónica."""
POLONIA,Torun (Ciudad Vieja),"""ciudad, historia, medieval, arquitectura, patrimonio unesco""",1000000,4.5,Todo el año,"""Ciudad natal de Copérnico, famosa por su arquitectura gótica bien conservada y su pan de jengibre, Patrimonio de la UNESCO."""
POLONIA,Parque Nacional Tatra,"""naturaleza, montaña, parque natural, aventura, lago""",3000000,4.7,Verano,"""Parque nacional que alberga la parte polaca de los Montes Tatras, ideal para el senderismo y los deportes de montaña."""
PORTUGAL,Torre de Belem (Lisboa),"""monumento, historia, arquitectura, manuelino, ciudad""",1000000,4.6,Todo el año,"""Torre defensiva del siglo XVI, icono de Lisboa y de la Era de los Descubrimientos, con vistas al Rio Tajo."""
PORTUGAL,Monasterio de los Jeronimos (Lisboa),"""religion, arquitectura, manuelino, patrimonio unesco""",1200000,4.8,Todo el año,"""Impresionante monasterio jeronimo, obra maestra del estilo manuelino y lugar de descanso de Vasco da Gama."""
PORTUGAL,Palacio Nacional da Pena (Sintra),"""palacio, arquitectura, romantico, montaña, jardin""",2000000,4.9,Primavera,"""Palacio de colores vivos en lo alto de la sierra de Sintra, que combina estilos neogoticos y manuelino en un parque exuberante."""
PORTUGAL,Casco Antiguo de Oporto (Ribeira),"""ciudad, patrimonio unesco, arquitectura, rio, ocio""",4000000,4.7,Todo el año,"""El historico barrio de Oporto a orillas del Duero, famoso por sus casas coloridas, puentes de hierro y bodegas de vino de Oporto."""
PORTUGAL,Convento de Cristo (Tomar),"""castillo, historia, religion, templario, arquitectura""",300000,4.6,Todo el año,"""Fortaleza templaria unica y monumento manuelino, que fue sede de la Orden de Cristo en Portugal, Patrimonio de la UNESCO."""
PORTUGAL,Algarve (Costa),"""playa, costa, naturaleza, relax, ocio""",7000000,4.5,Verano,"""Region costera famosa por sus playas de arena dorada, acantilados de caliza y cuevas marinas, el principal destino vacacional."""
PORTUGAL,Santuario de Fatima,"""religion, peregrinacion, monumento""",6000000,4.4,Todo el año,"""Uno de los santuarios marianos mas importantes del mundo catolico, un centro de peregrinacion global."""
PORTUGAL,Castillo de Guimaraes,"""castillo, historia, medieval, arquitectura""",450000,4.5,Todo el año,"""Considerado la cuna de la nacion portuguesa, un castillo bien conservado donde se bautizo el primer rey."""
PORTUGAL,Valle del Duero (Douro),"""naturaleza, paisaje, gastronomia, rio, patrimonio unesco""",1000000,4.8,Otono,"""Valle del rio Duero, famoso por sus terrazas de viñedos que producen el vino de Oporto, Patrimonio de la UNESCO."""
PORTUGAL,Oceanario de Lisboa,"""ocio, aventura, museo, fauna, ciudad""",1400000,4.7,Todo el año,"""Uno de los acuarios mas grandes y mas valorados de Europa, centrado en la conservacion marina."""
REINO UNIDO,British Museum (Londres),"""museo, historia, cultura, arte, ciudad""",6000000,4.8,Todo el año,"""Uno de los museos mas grandes y completos del mundo, con colecciones que abarcan dos millones de años de historia humana."""
REINO UNIDO,Torre de Londres,"""castillo, historia, medieval, monarquia, patrimonio unesco""",3000000,4.7,Todo el año,"""Fortaleza historica junto al Rio Tamesis, famosa por albergar las Joyas de la Corona y su oscuro pasado."""
REINO UNIDO,Palacio de Buckingham (Londres),"""palacio, monarquia, arquitectura, simbolo, ciudad""",10000000,4.6,Verano,"""La residencia oficial del monarca britanico en Londres, famosa por la ceremonia del cambio de guardia."""
REINO UNIDO,Stonehenge,"""arqueologia, prehistoria, monumento, patrimonio unesco""",1500000,4.9,Todo el año,"""Famoso monumento megalitico del Neolitico, cuya funcion sigue siendo un misterio, uno de los mas iconicos del mundo."""
REINO UNIDO,Edimburgo (Old Town),"""ciudad, medieval, historia, arquitectura, patrimonio unesco""",5000000,4.7,Verano,"""El centro historico de Edimburgo, famoso por su arquitectura medieval y el 'Royal Mile'."""
REINO UNIDO,Castillo de Edimburgo,"""castillo, historia, arquitectura, monarquia, ciudad""",2200000,4.6,Primavera,"""Imponente fortaleza que domina el horizonte de Edimburgo, uno de los castillos mas importantes de Escocia."""
REINO UNIDO,National Gallery (Londres),"""museo, arte, cultura, ciudad""",5500000,4.7,Todo el año,"""Galeria de arte que alberga la coleccion nacional de pintura de Europa Occidental desde el siglo XIII."""
REINO UNIDO,Lago Ness (Escocia),"""naturaleza, lago, leyenda, relax, aventura""",1000000,4.3,Verano,"""Famoso lago de agua dulce en Escocia, conocido por su profundidad y la leyenda del monstruo 'Nessie'."""
REINO UNIDO,Giant's Causeway (Irlanda del Norte),"""geologia, naturaleza, patrimonio unesco, costa, paisaje""",900000,4.8,Todo el año,"""Impresionante formacion geologica de columnas hexagonales de basalto a lo largo de la costa, Patrimonio de la UNESCO."""
REINO UNIDO,Big Ben y Casas del Parlamento,"""monumento, politica, arquitectura, simbolo, ciudad""",4000000,4.5,Todo el año,"""El iconico reloj (Big Ben) y el Palacio de Westminster, centro de la vida politica britanica."""
REPÚBLICA CHECA,Puente de Carlos (Praga),"""monumento, historia, arquitectura, medieval, ciudad""",15000000,4.8,Todo el año,"""Iconico puente medieval que cruza el Rio Moldava, famoso por sus estatuas barrocas y sus vistas al castillo."""
REPÚBLICA CHECA,Castillo de Praga,"""castillo, palacio, historia, arquitectura, ciudad""",2000000,4.7,Primavera,"""El complejo de castillos mas grande del mundo, sede de reyes y presidentes, dominando la capital."""
REPÚBLICA CHECA,Reloj Astronomico (Praga),"""monumento, arquitectura, medieval, ingenieria, ciudad""",5000000,4.6,Todo el año,"""El tercer reloj astronomico mas antiguo del mundo y el unico que sigue en funcionamiento, situado en la Plaza de la Ciudad Vieja."""
REPÚBLICA CHECA,Casco Antiguo (Praga),"""ciudad, patrimonio unesco, arquitectura, historia, ocio""",8000000,4.8,Todo el año,"""El corazon historico de Praga, con edificios goticos y barrocos, Patrimonio de la UNESCO."""
REPÚBLICA CHECA,Cesky Krumlov,"""pueblo, medieval, arquitectura, historia, patrimonio unesco""",1000000,4.9,Primavera,"""Una de las ciudades medievales mejor conservadas de Europa, con un gran castillo y un rio que serpentea alrededor."""
REPÚBLICA CHECA,Catedral de San Vito (Praga),"""religion, arquitectura, gotico, monumento, ciudad""",1500000,4.5,Todo el año,"""Imponente catedral dentro del complejo del Castillo de Praga, una obra maestra del arte gotico checo."""
REPÚBLICA CHECA,Monasterio de Strahov (Praga),"""monasterio, religion, cultura, arquitectura, barroco""",700000,4.6,Todo el año,"""Famoso por su biblioteca historica con frescos, uno de los mas importantes complejos monasticos del pais."""
REPÚBLICA CHECA,Kutna Hora (Osario de Sedlec),"""religion, arte, historia, monumento""",500000,4.4,Todo el año,"""La 'Iglesia de Huesos', un osario decorado con los esqueletos de unas 40,000 personas, ofreciendo una experiencia unica."""
REPÚBLICA CHECA,Parque Nacional de la Suiza Bohemia,"""naturaleza, parque natural, montaña, aventura, paisaje""",1000000,4.7,Verano,"""Famoso por sus formaciones rocosas, especialmente el 'Arco de Pravcicka', el arco de piedra mas grande de Europa."""
REPÚBLICA CHECA,Plaza Wenceslao (Praga),"""ciudad, historia, compras, ocio, simbolo""",6000000,4.3,Todo el año,"""Centro de la vida social y politica moderna de Praga, bordeada de tiendas y edificios iconicos."""
RUMANÍA,Castillo de Bran,"""castillo, historia, medieval, leyenda, transilvania""",1000000,4.6,Todo el año,"""Fortaleza iconica conocida mundialmente como el hogar del Conde Dracula, dominando un paisaje montañoso."""
RUMANÍA,Palacio del Parlamento (Bucarest),"""palacio, arquitectura, politica, monumento, ciudad""",500000,4.5,Todo el año,"""El edificio administrativo mas grande del mundo por volumen, simbolo del regimen comunista y actual sede del Parlamento."""
RUMANÍA,Casco Antiguo de Sighișoara,"""ciudad, medieval, historia, arquitectura, patrimonio unesco""",800000,4.8,Primavera,"""Ciudadela medieval habitada y fortificada, Patrimonio de la UNESCO y se cree que es el lugar de nacimiento de Vlad el Empalador (Dracula)."""
RUMANÍA,Castillo de Peles,"""castillo, arquitectura, renacimiento, historia, montaña""",600000,4.9,Primavera,"""Una obra maestra de la arquitectura neorrenacentista, antigua residencia de verano de la realeza rumana en los Cárpatos."""
RUMANÍA,Delta del Danubio,"""naturaleza, rio, fauna, parque natural, relax""",200000,4.7,Verano,"""La region de deltas mejor conservada de Europa, un vasto humedal con una rica biodiversidad de aves y vida acuatica."""
RUMANÍA,Monasterios Pintados de Bucovina,"""religion, arte, arquitectura, patrimonio unesco""",300000,4.6,Primavera,"""Un grupo de iglesias ortodoxas famosas por sus frescos exteriores que cubren las paredes enteras, Patrimonio de la UNESCO."""
RUMANÍA,Carretera Transfagarasan,"""carretera escenica, montaña, aventura, naturaleza""",1000000,4.8,Verano,"""Una de las carreteras mas espectaculares del mundo, con curvas cerradas que atraviesan las montañas Fagaras, solo abierta en verano."""
RUMANÍA,Ciudad Vieja de Brasov,"""ciudad, medieval, arquitectura, historia, transilvania""",2000000,4.5,Todo el año,"""Ciudad historica rodeada de montañas, famosa por su Iglesia Negra y su ambiente sajón medieval."""
RUMANÍA,Mina de Sal de Turda,"""geologia, cueva, museo, ocio, salud""",700000,4.7,Todo el año,"""Una antigua mina de sal convertida en un parque tematico subterraneo y museo, conocido por sus propiedades curativas."""
RUMANÍA,Cementerio Alegre (Sapanta),"""cultura, arte, religion, pueblo""",100000,4.4,Todo el año,"""Cementerio unico famoso por sus cruces coloridas con poemas e imagenes que resumen la vida de los difuntos."""
SUECIA,Gamla Stan (Estocolmo),"""ciudad, medieval, historia, arquitectura, compras""",5000000,4.8,Todo el año,"""El casco antiguo de Estocolmo, con calles empedradas, casas de colores y el Palacio Real, el corazon historico de la capital."""
SUECIA,Archipielago de Estocolmo,"""naturaleza, isla, costa, relax, ocio""",2000000,4.7,Verano,"""Vasto archipielago de mas de 30,000 islas e islotes cerca de la capital, ideal para navegar y la vida costera."""
SUECIA,Museo Vasa (Estocolmo),"""museo, historia, maritimo, arquitectura, simbolo""",1500000,4.9,Todo el año,"""El museo mas visitado de Escandinavia, que alberga el buque de guerra Vasa, del siglo XVII, rescatado casi intacto."""
SUECIA,Palacio Real de Estocolmo,"""palacio, monarquia, historia, arquitectura, ciudad""",800000,4.6,Todo el año,"""Uno de los palacios mas grandes de Europa, residencia oficial del Rey de Suecia y famoso por la ceremonia de cambio de guardia."""
SUECIA,Skansen (Estocolmo),"""museo, cultura, rural, parque, familia""",1300000,4.5,Primavera,"""El primer museo al aire libre del mundo, que muestra la vida y las tradiciones suecas a traves de edificios historicos y fauna nordica."""
SUECIA,Gota Canal,"""ingenieria, rio, relax, paisaje, carretera escenica""",1000000,4.4,Verano,"""Famoso canal de mas de 190 km que conecta Gotemburgo con Estocolmo, considerado la 'gran obra azul' de Suecia."""
SUECIA,Abisko (Observacion Aurora Boreal),"""naturaleza, espectaculo natural, invierno, aventura, ciencia""",100000,4.9,Invierno,"""Pueblo en la Laponia sueca, uno de los mejores lugares del mundo para ver la Aurora Boreal gracias a su 'agujero azul'."""
SUECIA,Malmo (Turning Torso),"""arquitectura, moderno, ciudad, simbolo""",1500000,4.3,Todo el año,"""Iconica torre residencial giratoria, la mas alta de Escandinavia y simbolo de la arquitectura moderna de Malmo."""
SUECIA,Parque Nacional Sarek,"""naturaleza, parque natural, montaña, bosque, aventura""",60000,4.7,Verano,"""Parque nacional remoto en Laponia, una de las ultimas zonas salvajes de Europa, ideal para el montañismo y el senderismo extremo."""
SUECIA,Uppsala (Catedral y Castillo),"""religion, arquitectura, historia, universidad, ciudad""",500000,4.5,Todo el año,"""Ciudad universitaria historica con la catedral gotica mas grande de Escandinavia y un imponente castillo renacentista."""
SUIZA,Matterhorn (Cervino),"""montaña, simbolo, naturaleza, aventura""",2000000,4.9,Verano,"""El pico mas iconico de los Alpes, famoso por su forma piramidal casi perfecta y por dominar el horizonte de Zermatt."""
